                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.2408,                0.49615,                  0.926,                 0.7904,                0.58661,                0.62992,                0.37592,                 1.3647,                0.55632,                0.98894,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.2379,                 0.4926,                0.92432,                0.64458,                0.47552,                0.51318,                0.32473,                 1.3329,                 0.5574,                0.97952,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.2282,                0.49126,                0.92226,                0.63843,                0.51436,                0.53434,                0.32384,                 1.3539,                0.62061,                0.98541,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.2283,                0.49004,                 0.9238,                0.54043,                0.52919,                0.51215,                0.31036,                 1.3607,                0.55801,                0.98335,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.2259,                0.48898,                0.91903,                0.87136,                0.53333,                0.60122,                 0.3656,                 1.3411,                0.54215,                0.98764,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.2317,                0.48897,                 0.9192,                0.58565,                0.46895,                0.51114,                0.31487,                 1.3531,                0.54732,                0.99362,              0.0010234,              0.0010234,              0.0010234
                     42,                 1.2262,                0.48835,                0.92071,                 0.7892,                0.56862,                0.62474,                0.37056,                 1.3316,                0.53681,                0.97834,              0.0010069,              0.0010069,              0.0010069
                     43,                 1.2174,                0.48601,                0.91759,                0.75739,                0.48143,                0.55883,                0.34475,                 1.3461,                0.61074,                0.98505,             0.00099036,             0.00099036,             0.00099036
                     44,                  1.225,                0.49163,                0.91572,                0.69407,                0.55856,                0.58478,                0.34658,                 1.3333,                0.55368,                0.98382,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.2137,                0.48189,                  0.919,                0.67266,                0.52934,                0.53884,                0.32756,                  1.349,                0.54052,                0.98671,             0.00095736,             0.00095736,             0.00095736
                     46,                 1.2221,                0.48559,                0.91639,                0.78282,                0.55949,                0.57817,                0.34653,                 1.3551,                0.56707,                0.98766,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.2171,                0.48398,                0.91455,                0.70814,                 0.5291,                0.55576,                0.34216,                 1.3396,                0.54799,                0.99348,             0.00092435,             0.00092435,             0.00092435
                     48,                  1.215,                0.48011,                0.91939,                0.77875,                0.54184,                0.58686,                0.35516,                 1.3552,                0.54646,                 0.9853,             0.00090785,             0.00090785,             0.00090785
                     49,                 1.2198,                0.48255,                  0.917,                0.70598,                0.53105,                0.55557,                0.34307,                 1.3496,                0.56597,                 1.0001,             0.00089134,             0.00089134,             0.00089134
                     50,                 1.2095,                0.47913,                0.91571,                0.62348,                 0.6126,                0.59883,                0.36316,                 1.3541,                 0.5389,                0.98708,             0.00087484,             0.00087484,             0.00087484
                     51,                 1.1985,                0.47453,                0.91598,                 0.6753,                0.54156,                0.56398,                 0.3419,                 1.3489,                0.56449,                 0.9899,             0.00085834,             0.00085834,             0.00085834
                     52,                  1.205,                0.47888,                0.91529,                0.71007,                 0.5186,                0.55585,                0.33427,                 1.3406,                0.56586,                0.98971,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.2081,                0.47647,                0.91234,                 0.5904,                0.54272,                0.54182,                0.33309,                 1.3422,                0.53941,                0.98283,             0.00082533,             0.00082533,             0.00082533
                     54,                 1.2061,                0.47581,                0.91269,                0.71562,                0.51853,                0.55393,                0.33259,                 1.3302,                0.53487,                0.98163,             0.00080883,             0.00080883,             0.00080883
                     55,                 1.1957,                0.47373,                0.91369,                0.72345,                0.55963,                0.58919,                0.35546,                   1.34,                0.55007,                0.98465,             0.00079233,             0.00079233,             0.00079233
                     56,                 1.1993,                0.47042,                0.91012,                0.76122,                 0.5174,                  0.562,                0.34201,                 1.3447,                 0.5487,                0.98437,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.1901,                0.46863,                0.91065,                0.78736,                0.52119,                0.58317,                  0.347,                 1.3289,                 0.5443,                0.98479,             0.00075932,             0.00075932,             0.00075932
                     58,                 1.1911,                0.47012,                0.91427,                0.79087,                0.57409,                 0.6179,                0.36541,                 1.3411,                0.54405,                0.98808,             0.00074282,             0.00074282,             0.00074282
                     59,                 1.1989,                0.47256,                0.91134,                0.73789,                0.54425,                0.57401,                0.34864,                 1.3426,                0.54374,                0.98424,             0.00072631,             0.00072631,             0.00072631
